task,zero,mean,adjoint,pinv
denois,1.0,1.000113,0.178548,0.227364
inpaint,1.0,1.000113,0.633905,0.633905
source,1.0,1.000113,0.768716,0.590796
sensor,1.0,1.000113,0.570573,0.570573
pde,1.0,1.000113,0.743659,0.258024

"# Trivial predictors, for interpreting the model nMSE values."
# zero = predict 0 (nMSE 1.0 by construction); mean = predict the training mean.
"# adjoint = F^T(d_obs), optimally rescaled; uses the operator but no prior."
# pinv = unregularised least squares via CGLS -- the data-fit step with no
#        learned regularizer. A model that does not beat pinv added nothing.
