model,zeroshot_task,zeroshot_nmse,zeroshot_nmse_std,mean_train_nmse,mean_train_nmse_std,absolute_gap,ratio,n_seeds
FM_train-denois-inpaint-pde_val-source,source,0.594406,,0.344801,,0.249605,1.7239,1
FM_train-denois-inpaint-pde_val-source,sensor,0.563253,,0.344801,,0.218452,1.6336,1
FM_train-denois-inpaint-source_val-sensor,sensor,2.214346,,0.993039,,1.221307,2.2299,1
FM_train-denois-inpaint-source_val-sensor,pde,0.272936,,0.993039,,-0.720104,0.2748,1
FM_train-denois-sensor-pde_val-inpaint,inpaint,5.403462,,1.961761,,3.441701,2.7544,1
FM_train-denois-sensor-pde_val-inpaint,source,0.79399,,1.961761,,-1.167771,0.4047,1
FM_train-inpaint-source-sensor_val-pde,denois,0.229201,,1.884947,,-1.655746,0.1216,1
FM_train-inpaint-source-sensor_val-pde,pde,0.283517,,1.884947,,-1.60143,0.1504,1
FM_train-source-sensor-pde_val-denois,denois,0.233112,,0.512242,,-0.279129,0.4551,1
FM_train-source-sensor-pde_val-denois,inpaint,0.684202,,0.512242,,0.17196,1.3357,1

"# One row per (model, zero-shot task); protocol v2 gives each model two."
# absolute_gap = zeroshot_nmse - mean_train_nmse; ratio = zeroshot / mean_train.
# A ratio near 1 means the learned prior transferred to an operator never
# trained on. A large ratio means the model fitted its training operators
# specifically.
