model,kind,selection,n_seeds,train_tasks,zeroshot_tasks,denois_nmse,denois_nmse_std,denois_role,inpaint_nmse,inpaint_nmse_std,inpaint_role,source_nmse,source_nmse_std,source_role,sensor_nmse,sensor_nmse_std,sensor_role,pde_nmse,pde_nmse_std,pde_role,best_epoch,epochs_run,stopped_early,parameters,wall_seconds
FM_train-denois-inpaint-pde_val-source,foundation,train,1,denois|inpaint|pde,source|sensor,0.207469,,train,0.909245,,train,0.373483,,zeroshot,0.909001,,zeroshot,0.425868,,train,1,18,True,28961,3168.5
FM_train-denois-inpaint-source_val-sensor,foundation,train,1,denois|inpaint|source,sensor|pde,0.209521,,train,0.914303,,train,0.378033,,train,0.912856,,zeroshot,0.430094,,zeroshot,1,18,True,28961,3033.3
FM_train-denois-sensor-pde_val-inpaint,foundation,train,1,denois|sensor|pde,inpaint|source,0.21192,,train,0.912565,,zeroshot,0.381698,,zeroshot,0.911622,,train,0.43076,,train,1,18,True,28961,3101.9
FM_train-inpaint-source-sensor_val-pde,foundation,train,1,inpaint|source|sensor,denois|pde,0.209606,,zeroshot,0.907281,,train,0.37664,,train,0.906231,,train,0.427346,,zeroshot,2,19,True,28961,3210.3
FM_train-source-sensor-pde_val-denois,foundation,train,1,source|sensor|pde,denois|inpaint,0.206584,,zeroshot,0.910936,,zeroshot,0.374124,,train,0.909249,,train,0.426011,,train,9,26,True,28961,4938.7
ORIGINAL_paper_path_pl32,original,test,1,path,-,0.207479,,unseen,0.976688,,unseen,0.329941,,unseen,0.984386,,unseen,0.220758,,unseen,97,100,False,28961,18284.4
BASELINE least-squares (no prior),baseline,-,,-,-,0.204443,,baseline,0.922906,,baseline,0.369818,,baseline,0.922067,,baseline,0.422744,,baseline,,,,,
BASELINE adjoint (no prior),baseline,-,,-,-,0.168291,,baseline,0.922906,,baseline,0.785079,,baseline,0.922067,,baseline,0.596815,,baseline,,,,,
BASELINE predict train mean,baseline,-,,-,-,1.008394,,baseline,1.008394,,baseline,1.008394,,baseline,1.008394,,baseline,1.008394,,baseline,,,,,
BASELINE tikhonov (oracle lambda),baseline,-,,-,-,0.177223,,baseline,0.922906,,baseline,0.345762,,baseline,0.922067,,baseline,0.132367,,baseline,,,,,
BASELINE laplacian reg (oracle lambda),baseline,-,,-,-,0.141976,,baseline,0.922906,,baseline,0.330502,,baseline,0.922067,,baseline,0.103811,,baseline,,,,,

"# nMSE = MSE(x_pred, x) / MSE(0, x), the paper's normalised error (Appendix E.1). Lower is better."
# role: train = gradients; zeroshot = neither gradients nor model selection (protocol
"#       v2 selects on the mean training-task nMSE, so BOTH held-out tasks are clean);"
"#       val / test = the legacy v1 roles, shown only for --include_legacy runs;"
"#       unseen = the original single-task model, which trained on none of these five."
"# Values are means across seeds; *_nmse_std is the population std, blank for one seed."
"# Following the article, there is no snapshot-level validation split: all held-out"
# metrics are computed on the same test snapshots. The separation is at the TASK
# level -- a zero-shot task contributed no gradients and no model selection.
"# ORIGINAL reproduces the paper's protocol including its selection on the test set,"
# so its own-task number is comparable to Table 5 but is not a clean holdout.
# BASELINE tikhonov/laplacian rows are ORACLE-tuned: their lambda was chosen per task
# on the test nMSE. They are a deliberate ceiling for classical regularization.
