model,zeroshot_task,zeroshot_nmse,zeroshot_nmse_std,mean_train_nmse,mean_train_nmse_std,absolute_gap,ratio,n_seeds
FM_train-denois-inpaint-pde_val-source,source,0.373483,,0.514194,,-0.140711,0.7263,1
FM_train-denois-inpaint-pde_val-source,sensor,0.909001,,0.514194,,0.394807,1.7678,1
FM_train-denois-inpaint-source_val-sensor,sensor,0.912856,,0.500619,,0.412237,1.8235,1
FM_train-denois-inpaint-source_val-sensor,pde,0.430094,,0.500619,,-0.070525,0.8591,1
FM_train-denois-sensor-pde_val-inpaint,inpaint,0.912565,,0.518101,,0.394464,1.7614,1
FM_train-denois-sensor-pde_val-inpaint,source,0.381698,,0.518101,,-0.136403,0.7367,1
FM_train-inpaint-source-sensor_val-pde,denois,0.209606,,0.730051,,-0.520444,0.2871,1
FM_train-inpaint-source-sensor_val-pde,pde,0.427346,,0.730051,,-0.302704,0.5854,1
FM_train-source-sensor-pde_val-denois,denois,0.206584,,0.569795,,-0.363211,0.3626,1
FM_train-source-sensor-pde_val-denois,inpaint,0.910936,,0.569795,,0.341141,1.5987,1

"# One row per (model, zero-shot task); protocol v2 gives each model two."
# absolute_gap = zeroshot_nmse - mean_train_nmse; ratio = zeroshot / mean_train.
# A ratio near 1 means the learned prior transferred to an operator never
# trained on. A large ratio means the model fitted its training operators
# specifically.
