"dataset","seed","op","method","N","draw","acc","loss_X","n_params"
"CLUSTER","0","denoise","pretrained_indist","","","0.9628893339633942","1.0789841938018798","163079"
"CLUSTER","0","mask","pretrained_indist","","","0.5045096945762634","1.4274381756782533","163079"
"CLUSTER","0","smooth","pretrained_indist","","","0.4021210354566574","1.4958455204963683","163079"
"CLUSTER","0","path","pretrained_indist","","","0.6358628785610199","1.3663335585594176","163079"
"CLUSTER","0","maskSmooth","pretrained_zeroshot","0","","0.40383943915367126","1.5076706862449647","163079"
"CLUSTER","0","maskSmooth","pretrained_zeroshot_recipe","0","","0.4002415144443512","1.504378352165222","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","5","0","0.3864795672893524","1.5478946304321288","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","5","0","0.3862186700105667","1.5350894141197204","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","5","0","0.2648909568786621","1.723789176940918","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","5","1","0.38639521062374116","1.5908159399032593","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","5","1","0.3867148780822754","1.5348658919334413","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","5","1","0.2604556125402451","1.7188645267486573","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","20","0","0.39610582947731016","1.5093106389045716","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","20","0","0.38759067296981814","1.5203389096260072","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","20","0","0.2624527502059937","1.7010586285591125","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","20","1","0.39756511747837064","1.500829439163208","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","20","1","0.39700348138809205","1.5198605346679688","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","20","1","0.26389794021844865","1.6922337317466736","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","100","0","0.40755657076835633","1.4899469757080077","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","100","0","0.3963437694311142","1.5183324027061462","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","100","0","0.26400399923324586","1.7011763405799867","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot","100","1","0.4068179780244827","1.4912725639343263","163079"
"CLUSTER","0","maskSmooth","pretrained_fewshot_recipe","100","1","0.4023516362905502","1.5184311079978943","163079"
"CLUSTER","0","maskSmooth","fromscratch_fewshot","100","1","0.25856101244688035","1.6940750575065613","163079"
"CLUSTER","0","maskSmooth","classical_tikhonov","","","0.261019047498703","1.791754767894745","0"
"CLUSTER","0","maxpool","pretrained_zeroshot","0","","0.2964699280261993","nan","163079"
"CLUSTER","0","maxpool","pretrained_zeroshot_recipe","0","","0.3768384140729904","1.5258480024337768","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","5","0","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","5","0","0.37219888627529146","1.558988130092621","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","5","0","0.19544779360294343","1.7827975344657898","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","5","1","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","5","1","0.37585201680660246","1.5574342012405396","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","5","1","0.21254291594028474","1.77830246925354","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","20","0","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","20","0","0.3783042186498642","1.536696355342865","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","20","0","0.20301027178764344","5.5841917688852515e+31","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","20","1","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","20","1","0.3721140265464783","1.5391791105270385","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","20","1","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","100","0","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","100","0","0.37707126200199126","1.5362972903251648","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","100","0","0.20595131427049637","1.7761345744132995","163079"
"CLUSTER","0","maxpool","pretrained_fewshot","100","1","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","pretrained_fewshot_recipe","100","1","0.3759926235675812","1.5412086582183837","163079"
"CLUSTER","0","maxpool","fromscratch_fewshot","100","1","0.16442617490887643","nan","163079"
"CLUSTER","0","maxpool","classical_tikhonov","","","0.20352651059627533","1.7917449522018432","0"
"CLUSTER","1","denoise","pretrained_indist","","","0.96099560379982","1.0814059090614319","163079"
"CLUSTER","1","mask","pretrained_indist","","","0.527029862999916","1.3967484331130982","163079"
"CLUSTER","1","smooth","pretrained_indist","","","0.41617183268070224","1.4681861662864686","163079"
"CLUSTER","1","path","pretrained_indist","","","0.5567887222766876","1.4210172414779663","163079"
