dataset,seed,op,method,N,draw,acc,loss_X,n_params
CLUSTER,0,denoise,pretrained_indist,,,0.962329466342926,1.0805147361755372,163079
CLUSTER,0,mask,pretrained_indist,,,0.37621853590011595,1.5911074781417847,163079
CLUSTER,0,smooth,pretrained_indist,,,0.28114908158779145,1.685285015106201,163079
CLUSTER,0,path,pretrained_indist,,,0.815342812538147,1.5189217281341554,163079
CLUSTER,0,maskSmooth,pretrained_zeroshot,0,,0.29887897908687594,1.6929134559631347,163079
CLUSTER,0,maskSmooth,pretrained_zeroshot_recipe,0,,0.28265098452568055,1.6973613214492798,163079
CLUSTER,0,maskSmooth,pretrained_fewshot,5,0,0.2764877098798752,1.6701873683929442,163079
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,5,0,0.29124948143959045,1.6885946989059448,163079
CLUSTER,0,maskSmooth,fromscratch_fewshot,5,0,0.2705910086631775,1.720949649810791,163079
CLUSTER,0,maskSmooth,pretrained_fewshot,20,0,0.29893287777900696,1.666538815498352,163079
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,20,0,0.30349076151847837,1.6863590049743653,163079
CLUSTER,0,maskSmooth,fromscratch_fewshot,20,0,0.2722675484418869,1.7001825618743895,163079
CLUSTER,0,maskSmooth,classical_tikhonov,,,0.26219291031360625,1.7917546224594116,0
CLUSTER,0,maxpool,pretrained_zeroshot,0,,0.2117619627714157,3.643700845374287e+20,163079
CLUSTER,0,maxpool,pretrained_zeroshot_recipe,0,,0.22847564816474913,1.7049385499954224,163079
CLUSTER,0,maxpool,pretrained_fewshot,5,0,0.15861909449100495,nan,163079
CLUSTER,0,maxpool,pretrained_fewshot_recipe,5,0,0.22844229400157928,1.740655961036682,163079
CLUSTER,0,maxpool,fromscratch_fewshot,5,0,0.20854333639144898,1.762110195159912,163079
CLUSTER,0,maxpool,pretrained_fewshot,20,0,0.15861909449100495,nan,163079
CLUSTER,0,maxpool,pretrained_fewshot_recipe,20,0,0.2332633179426193,1.736197953224182,163079
CLUSTER,0,maxpool,fromscratch_fewshot,20,0,0.24636049389839174,1.7558457517623902,163079
CLUSTER,0,maxpool,classical_tikhonov,,,0.23794879019260406,1.7917391347885132,0
