dataset,seed,op,method,N,draw,acc,loss_X,n_params
CLUSTER,0,denoise,pretrained_indist,,,0.9628893339633942,1.0789841938018798,162759
CLUSTER,0,mask,pretrained_indist,,,0.5065346467494964,1.4254462456703185,162759
CLUSTER,0,smooth,pretrained_indist,,,0.405973510146141,1.5044806933403014,162759
CLUSTER,0,path,pretrained_indist,,,0.5489576065540314,1.3695018553733826,162759
CLUSTER,0,maskSmooth,pretrained_zeroshot,0,,0.4045115315914154,1.5046492743492126,162759
CLUSTER,0,maskSmooth,pretrained_zeroshot_recipe,0,,0.4049864190816879,1.5017102122306825,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,5,0,0.3860654449462891,1.5459824419021606,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,5,0,0.3869785958528519,1.5268381476402282,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,5,0,0.2747336181998253,1.7186803531646728,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,5,1,0.383168323636055,1.5636415004730224,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,5,1,0.37990077793598176,1.524311399459839,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,5,1,0.26154245644807816,1.7072171020507811,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,20,0,0.39319407284259794,1.519219114780426,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,20,0,0.39448592662811277,1.519801161289215,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,20,0,0.2691425892710686,1.700235025882721,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,20,1,0.3954072540998459,1.503883762359619,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,20,1,0.39899284780025485,1.5098230123519898,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,20,1,0.26479820281267163,1.6930423021316527,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,100,0,0.4063923519849777,1.4942526483535767,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,100,0,0.4077468627691269,1.5170465159416198,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,100,0,0.26899044364690783,1.7000083136558533,162759
CLUSTER,0,maskSmooth,pretrained_fewshot,100,1,0.4013556081056595,1.4941963148117066,162759
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,100,1,0.399550843834877,1.5178341150283814,162759
CLUSTER,0,maskSmooth,fromscratch_fewshot,100,1,0.2693335881829262,1.6896567249298096,162759
CLUSTER,0,maxpool,pretrained_zeroshot,0,,0.3232852828502655,nan,162759
CLUSTER,0,maxpool,pretrained_zeroshot_recipe,0,,0.376358677148819,1.5222576451301575,162759
CLUSTER,0,maxpool,pretrained_fewshot,5,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,5,0,0.37037805676460267,1.559601240158081,162759
CLUSTER,0,maxpool,fromscratch_fewshot,5,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot,5,1,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,5,1,0.3685143381357193,1.5497433495521546,162759
CLUSTER,0,maxpool,fromscratch_fewshot,5,1,0.20683378905057906,1.786349971294403,162759
CLUSTER,0,maxpool,pretrained_fewshot,20,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,20,0,0.3692695152759552,1.549510085582733,162759
CLUSTER,0,maxpool,fromscratch_fewshot,20,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot,20,1,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,20,1,0.37745560467243194,1.5357424879074097,162759
CLUSTER,0,maxpool,fromscratch_fewshot,20,1,0.21448102414608003,1.7661809515953064,162759
CLUSTER,0,maxpool,pretrained_fewshot,100,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,100,0,0.3707715737819672,1.5350571489334106,162759
CLUSTER,0,maxpool,fromscratch_fewshot,100,0,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot,100,1,0.16442617490887643,nan,162759
CLUSTER,0,maxpool,pretrained_fewshot_recipe,100,1,0.3780797451734543,1.5402565741539,162759
CLUSTER,0,maxpool,fromscratch_fewshot,100,1,0.22108400046825408,1.7629806566238404,162759
