dataset,seed,op,method,N,draw,acc,loss_X,n_params
CLUSTER,2,denoise,pretrained_indist,,,0.9626314151287079,1.0799028754234314,163079
CLUSTER,2,mask,pretrained_indist,,,0.4769512343406677,1.4554305148124695,163079
CLUSTER,2,smooth,pretrained_indist,,,0.37792808771133424,1.5355817079544067,163079
CLUSTER,2,path,pretrained_indist,,,0.6649021780490876,1.3456441020965577,163079
CLUSTER,2,maskSmooth,pretrained_zeroshot,0,,0.38030424296855925,1.536134855747223,163079
CLUSTER,2,maskSmooth,pretrained_zeroshot_recipe,0,,0.3835248863697052,1.5336945343017578,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,5,0,0.36262249171733857,1.5772705030441285,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,5,0,0.3674985671043396,1.5616583967208861,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,5,0,0.2638342735171318,1.7224365520477294,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,5,1,0.35905343413352964,1.5890272212028504,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,5,1,0.3665894967317581,1.5668439722061158,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,5,1,0.2593794205784798,1.7191051650047302,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,20,0,0.3754331827163696,1.5399376487731933,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,20,0,0.38046997487545015,1.539069664478302,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,20,0,0.2608425676822662,1.6965932154655456,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,20,1,0.3772365391254425,1.5390234279632569,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,20,1,0.38371775090694427,1.5349542236328124,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,20,1,0.25963805347681046,1.6941157579421997,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,100,0,0.3819015145301819,1.5349980425834655,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,100,0,0.3899304986000061,1.5344833660125732,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,100,0,0.2650943759083748,1.6994813418388366,163079
CLUSTER,2,maskSmooth,pretrained_fewshot,100,1,0.37595690190792086,1.5355333065986634,163079
CLUSTER,2,maskSmooth,pretrained_fewshot_recipe,100,1,0.3877777248620987,1.5329734802246093,163079
CLUSTER,2,maskSmooth,fromscratch_fewshot,100,1,0.2574280792474747,1.6966898083686828,163079
CLUSTER,2,maskSmooth,classical_tikhonov,,,0.2600445693731308,1.7917548131942749,0
CLUSTER,2,maxpool,pretrained_zeroshot,0,,0.29056671500205994,1.153403142214866e+24,163079
CLUSTER,2,maxpool,pretrained_zeroshot_recipe,0,,0.34083829283714295,1.5564706349372863,163079
CLUSTER,2,maxpool,pretrained_fewshot,5,0,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,5,0,0.35095168590545656,1.5909422636032104,163079
CLUSTER,2,maxpool,fromscratch_fewshot,5,0,0.2223476842045784,1.775220227241516,163079
CLUSTER,2,maxpool,pretrained_fewshot,5,1,0.3524043327569962,1.5946921062469483,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,5,1,0.34718399584293363,1.5973840403556823,163079
CLUSTER,2,maxpool,fromscratch_fewshot,5,1,0.19980377823114395,1.8025461959838867,163079
CLUSTER,2,maxpool,pretrained_fewshot,20,0,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,20,0,0.34653751492500307,1.5691313362121582,163079
CLUSTER,2,maxpool,fromscratch_fewshot,20,0,0.205081484913826,1.774156050682068,163079
CLUSTER,2,maxpool,pretrained_fewshot,20,1,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,20,1,0.3430490666627884,1.5776719307899476,163079
CLUSTER,2,maxpool,fromscratch_fewshot,20,1,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot,100,0,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,100,0,0.34167404532432555,1.5722931218147278,163079
CLUSTER,2,maxpool,fromscratch_fewshot,100,0,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot,100,1,0.16442617490887643,nan,163079
CLUSTER,2,maxpool,pretrained_fewshot_recipe,100,1,0.33966340124607086,1.5825423717498779,163079
CLUSTER,2,maxpool,fromscratch_fewshot,100,1,0.1853059224784374,1.7807110333442688,163079
CLUSTER,2,maxpool,classical_tikhonov,,,0.2036885538697243,1.7917451906204223,0
