dataset,seed,op,method,N,draw,acc,loss_X,n_params
CLUSTER,0,denoise,pretrained_indist,,,0.9545024832089742,1.081976294517517,16519
CLUSTER,0,mask,pretrained_indist,,,0.352088342110316,1.630912184715271,16519
CLUSTER,0,smooth,pretrained_indist,,,0.2733628104130427,1.75419020652771,16519
CLUSTER,0,path,pretrained_indist,,,0.5546217163403829,1.6819899082183838,16519
CLUSTER,0,maskSmooth,pretrained_zeroshot,0,,0.25589896241823834,1.7544708649317424,16519
CLUSTER,0,maskSmooth,pretrained_zeroshot_recipe,0,,0.2474739452203115,1.763195514678955,16519
CLUSTER,0,maskSmooth,pretrained_fewshot,5,0,0.2705636223157247,1.7528898318608601,16519
CLUSTER,0,maskSmooth,pretrained_fewshot_recipe,5,0,0.27224506934483844,1.7535556157430012,16519
CLUSTER,0,maskSmooth,fromscratch_fewshot,5,0,0.2681005696455638,1.7530659039815266,16519
CLUSTER,0,maskSmooth,classical_tikhonov,,,0.269425908724467,1.7917528947194417,0
CLUSTER,0,maxpool,pretrained_zeroshot,0,,0.18098905682563782,1.7654423316319783,16519
CLUSTER,0,maxpool,pretrained_zeroshot_recipe,0,,0.184959277510643,1.765210469563802,16519
CLUSTER,0,maxpool,pretrained_fewshot,5,0,0.23664640883604685,1.7534814675649006,16519
CLUSTER,0,maxpool,pretrained_fewshot_recipe,5,0,0.2158954789241155,1.7571130990982056,16519
CLUSTER,0,maxpool,fromscratch_fewshot,5,0,0.19774702191352844,1.754123608271281,16519
CLUSTER,0,maxpool,classical_tikhonov,,,0.27167682349681854,1.791723608970642,0
